tahun,sub_holding,sub_holding_original,unit_operasi,wilayah_kerja,luasan_offsite_ha,luasan_overlap_ha,luasan_total_ha,location_adjacent,location_overlapped,biodiversity_score,biodiversity_category,fauna_names,fauna_released_count,flora_names
2023,SH Downstream,SH R&P,GRR Tuban,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR I,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR II,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR III,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR IV,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR V,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR VI,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR VII,,,,,,,,,,,
2023,SH Downstream,SH C&T,MOR VIII,,,,,,,,,,,
2023,SH Downstream,SH R&P,PT KPB,,,,,,,,,,,
2023,SH Downstream,SH IML,PT PIS,,,,,,,,,,,
2023,SH Downstream,SH IML,PT PTK,,,,,,,,,,,
2023,SH Downstream,SH C&T,PTPL,,,,,,,,,,,
2023,SH Downstream,SH C&T,PTPN,,,,,,,,,,,
2023,SH Downstream,SH C&T,PTPR,,,,,,,,,,,
2023,SH Downstream,SH IML,Pertamina Energy Terminal,,,,,,,,,,,
2023,SH Downstream,SH C&T,Project,,,,,,,,,,,
2023,SH Downstream,SH R&P,RCC Blgn,,,,,,,,,,,
2023,SH Downstream,SH R&P,RDMP Blgn,,,,,,,,,,,
2023,SH Downstream,SH R&P,RDMP Clcp,,,,,,,,,,,
2023,SH Downstream,SH R&P,RU II Dumai,,,,70.45,,no,3.62,Tinggi,"Rusa Sambar (Cervus unicolor), Rusa Totol (Axis axis), Elang Laut Perut Putih (Haliaeetus Leucogaster), Elang Ular Bido (Spilornis cheela), Kangkareng Perut Putih (Anthracoceros albirostis)",,"Shorea platyclados, Aquilaria Malaccensis, Nephentes Ampullaria, Dipterocarpus cinerus, Eusideroxylon zwageri, Syzygium zeylanicum"
2023,SH Downstream,SH R&P,RU II SPK,,,,26,,no,3,Sedang,"Jumlah Fauna = 404 Individu
Fauna yang dilindungi=
1. Sinpai Hitam Sumatra (Presbytis melalophos)Status IUCN : Endangered(EN)
2. Jalak Kerbau (Acridotheres javanicus), Status IUCN : Vulnerable(VU)

3. Monyet Ekor Panjang (Macaca fascicularis) Status IUCN : Endangered(EN)
4. Lutung Kelabu (Trachypithecus cristatus) Status IUCN : Vulnerable(VU)",,"Jumlah Flora = 1764 batang
Flora yang dilindungi
1. Critically Endangered (CR) yaitu gaharu (Aquilaria malaccensis)
2. Critically Endangered (CR) yaitu kantong semar sumatera (Nepenthes sumatrana)
3. Endangered (EN) meranti (Shorea pauciflora)
4. Vulnerable(VU) belangeran (Shorea balangeran)
5. Vulnerable(VU) kantong semar spektabilis (Nepenthes spectabilis)"
2023,SH Downstream,SH R&P,RU III,,,,7570.49,,no,2.921,Sedang,"Jumlah Fauna: 92 jenis

1. Burung : 44 Jenis
2. Mamalia : 8 jenis
3. Herpetofauna : 10 Jenis
4. Capung : 12 Jenis
5. Kupu-Kupu : 15 Jenis
6. Ikan: 3 Jenis

Fauna yang dlindungi:
1 Rusa Sambar (Cervus unicolor), Status IUCN: Vulnerable (VU)
2. Gajah Sumatera (Elephas maximus sumatranus), Status IUCN: Critically Endangered (CR)
3. Belida juvenile/dewasa (Chitala lopis), Status IUCN: Extinct (EX)
4. Belida benih/anakan (Chitala lopis), Status IUCN: Extinct (EX)
5. Monyet Ekor Panjang (Macaca fascicularis), Status IUCN: Endangered (EN)
6. Lutung Kelabu (Trachypithecus cristatus), Status IUCN: Critically Endangered (CR)
7. Putak (Notopterus notopterus), Status PP 106.2018 : Dilindungi",,"Jumlah Flora: 139 Jenis

Akasia daun kecil, Albasia, Nangka, Belimbing, Nyamplung, Kelapa, Andong, Kelapa sawit, Jambu air, Beringin, Kalpataru, Melinjo, Mangga, Mindi, Tanjung, Rambutan, Talok, Kecrutan, Mahoni daun besar, Mahoni, Kedondong hutan, Salam, Nasi-nasi, Asam jawa, Ketapang kencana, Akasia daun kecil, Akasia daun lebar, Akasia pesisir, Saga, Pulai, Jambu mete, Srikaya, Cemara norflok, Cemara udang, Pinang, Sukun, Nangka, Belimbing wuluh, Belimbing, Menteng, Bambu kuning, Palem bangsawan, Nyamplung, Kenanga, Trengguli, Cemara kipas, Cemara udang, Batang unglen, Randu, Bintaro, Jeruk, Kelapa, Kelapa gading, Kanon, Cemara pensil, Pakis haji, Palem pucuk merah, Flamboyan, Kelengkeng, Durian, Kelapa sawit, Elaeocarpus floribundus, Dadap, Jambu air, Tembesu, Beringin, Karet kebo, Kimeng, Awar-awar, Ficus, Ficus sp., Kray payung, Melinjo, Waru landak, Kalpataru, Merbau, Cemara Pinsil, Bungur, Petai cina, Melanding, Krangean, Mangga, Kweni, Sawo, Mindi, Tanjung, Mengkudu, Kelor, Talok, Salam koja, Nusa indah, Rambutan, Palem, Kluwek, Alpukat, Ceremai, Cemara, Pinus merkusii, Asem londo, Kamboja, Glodogan tiang, Matoa, Jambu biji, Angsana, Bayur, Palem jepang, Jarak, Palem putri, Trembesi, Leunca, Kecrutan, Kedondong, Kepuh, Serut, Mahoni daun besar, Mahoni, Duwet, Jambu bol, Pucuk merah, Salam, Syzgium sp., Nasi-nasi, Tabebuya, Asem, Jati, Ketapang besar, Ketapang kencana, Kakao, Palem ekor tupai, Bakau, Api-Api, Tanjang, Flickingeria sp., Pholidota sp., Anggrek bulan Sumatra, Pisang-pisang laut, Rhizophora mucronata, Rhizophora stylosa, Rhizophora apiculata."
